date,itemid,date_collected,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2023-10-01 07:53:00,7633489846,10012023-0753,238345847,100629,Clara Olé Pineapple Jam 320g,320G/GR X 1,0,12300000,12300000,0,,Clara Olé,163,310,,301,3,4,0,2,310,4.938709677419355,30,734,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['4c2460eb3d84abb30dc0c70138579be1', '71adf92e82d8203d184694c95cf4c692', 'a650ac9d2c10062b37c0199fa649cd5f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,9389229735,10012023-0753,238345847,100631,Sheba Kitten Chicken 70G,70G/GR X 1,0,4600000,4600000,0,,,46,250,,230,7,5,3,5,250,4.815261044176707,41,8521,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['d749560995893c8f9e1ffaf825c4e2a7', 'e60a8cf83000d7e831fd649b81b01cf7', '5d7e755cdefa21d1584cf08b5083ad86', '6283a9717f9efab1ba338af390071c73', '4f272d82de51f14c686919e43a984c20', 'dd23d2915d14807ee8eddcc6f8643101']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,7097616773,10012023-0753,238345847,100632,Johnson's Blossoms Baby Powder 500g,500G/GR X 1,0,26600000,26600000,0,,,29,105,,105,0,0,0,0,105,5.0,90,260,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['38ffc301212af2d3cea1d847e8785258', '96b09e71ae2033ee5f33bb5051fd900d', '0d4e7131e096d24d38a99680b7ba95b3', '50b3e4d39264ee2743a3cd747a785270']","[{'name': 'V1', 'options': ['O1'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,21589636194,10012023-0753,238345847,100632,[EXCLUSIVE] Pampers Baby Dry Taped Diapers New Born 40s - Bundle of 3,40Piece X 1,0,117000000,117000000,0,,,10,39,,36,1,2,0,0,39,4.871794871794871,118,148,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['ph-11134207-7qula-lhskf7ea7t2f37', 'ph-11134207-7qul1-lhskf7ea97mv1d', 'ph-11134207-7qukz-lhskf7ea6ehz7e', 'ph-11134207-7quky-lhskf7ea4zxjf5']","[{'name': 'Bundle', 'options': ['Bundle of 3'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,4841262486,10012023-0753,238345847,100630,Gillette Blue 3 2s Blister Pack,2Piece X 1,0,14900000,14900000,0,,Gillette,40,208,,192,11,3,0,2,208,4.8798076923076925,29,459,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['d76b16a4807e7391747eaf7e9b708df6', 'd9b112a0ceeddf371764f0536c43fb0c', '2d8d7ad0577e5ed23bf8d8b015182b6c', '404ef5e9498dc705b1a1b72bf883f8d1', 'e1da0feaa807575a4bc06f2ae0bbd844']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,6599032248,10012023-0753,238345847,100629,Kasugai Yaki Sushi Nori 27G,27G/GR X 1,0,13900000,13900000,0,,,58,89,,81,4,3,0,1,89,4.842696629213483,32,291,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['e35b775802f69bbef65c9ba632759a48', 'f14f75e9174709351e98323d8564a412', 'a1f774f341fdfe59846ab186b10f15ff']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,6441950029,10012023-0753,238345847,100630,Axe Body Spray Ice Chill 50ml,50ML X 1,10900000,10500000,10500000,4,4%,Axe,180,536,,482,25,17,3,9,536,4.8059701492537314,129,1700,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['387d9a9693e3a788f9f7b311fc6ca074', '9fbf2fde63a6f2a912c473eb181422c1', '99c230649d9c253e8edfd4a3b39c305b', '67fdaa92bc3cbfaa0e5d2a5350f07cb8', '9344d16d87f8ee28d83b37a309443c67', '7a90ec0c7ea3cf580ad9ae76264cdb8b', '31ddb474a269b4d480e10baef719f0a8', '7ed90ec5e3cd5e1163ab7e81318f9bdb']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,10194113896,10012023-0753,238345847,100632,EQ Pants Jumbo Pack Medium 40's Baby Diaper Pack of 2,40Piece X 1,0,61200000,61200000,0,,,155,701,,653,22,14,4,8,701,4.865905848787446,1674,1741,1,True,"Cabuyao, Laguna",False,False,True,False,True,False,False,"['abee5f959581fe5380e35dbdab061560', 'cbab8c5ec8043a4f89e4906cce57eaa7', 'b0888c040ad66e50adbfe9914bb968f9']","[{'name': 'Variations', 'options': ['Pack of 2'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,4942216086,10012023-0753,238345847,100630,Vaseline Healthy Bright UV Extra Brightening Lotion 200ML,200ML X 1,20900000,20000000,20000000,4,4%,Vaseline,422,645,,611,23,3,2,6,645,4.908527131782946,45,1323,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['57336660170d38a9e92916500ed0714c', 'c922ce761ed72dceb1cfd81e78660314', '55fb9b059f1514df7b30c300fa725ae9', '8cb1b275e12af47a02639854b574cca8', '9e43f4104df6da26efcc4fbaf44563d2']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,21855822361,10012023-0753,238345847,100630,SkinWhite Whitening Kojic Acid + Retinol Lotion SPF 20 100ml,100ML X 1,0,17400000,17400000,0,,,126,79,,70,5,2,2,0,79,4.810126582278481,83,249,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['066b263f79d65396e065659637ec8942', '4050c2b62969e1bbed7a5b366eb02f67', 'd4cc91dca78d22b54e104d53e6f2e045', '960de982688621be5b1827a7f3085089', '77f5dc9d84a2831cb058591fd7d5bed1']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
